product_id,optimized_cost,naive_cost,savings,savings_pct,category
P001,443186.08,423150.06,-20036.02000000002,-4.734968015838168,electronics
P002,70964.76,71290.07,325.3100000000122,0.45631881130150687,apparel
P003,477888.21,468262.79,-9625.420000000042,-2.05555944344842,electronics
P004,134258.25,136243.16,1984.9100000000035,1.4568878173407043,electronics
P005,126619.97,109567.28,-17052.690000000002,-15.563670102972349,apparel
P006,52544.3,51125.25,-1419.050000000003,-2.7756343489762947,electronics
P007,9440.66,9482.54,41.88000000000102,0.44165381849168067,apparel
P008,77139.63,54631.51,-22508.120000000003,-41.199886292727406,electronics
P009,28325.56,20804.48,-7521.080000000002,-36.15125203802259,staples
P010,295334.9,204056.67,-91278.23000000001,-44.73180416008945,staples
P011,75879.6,76883.53,1003.929999999993,1.3057803147175904,electronics
P012,30495.89,31166.73,670.8400000000001,2.15242343357805,staples
P013,68817.29,52817.46,-15999.829999999994,-30.292691091165675,apparel
P014,110141.95,107829.91,-2312.0399999999936,-2.144154622775808,apparel
P015,9083.72,6409.71,-2674.0099999999993,-41.718112051871294,staples
P016,69260.5,70642.9,1382.3999999999942,1.9568845559850945,electronics
P017,1078226.02,755937.34,-322288.68000000005,-42.634311462905124,electronics
P018,225541.64,225756.8,215.1599999999744,0.0953060993068534,apparel
P019,317082.34,232965.8,-84116.54000000004,-36.106819112504944,apparel
P020,118542.92,118922.7,379.77999999999884,0.31935030065748493,apparel
P021,113949.77,114377.17,427.3999999999942,0.3736759704755715,electronics
P022,211267.64,182060.95,-29206.690000000002,-16.042259474093704,electronics
P023,12112.03,12218.03,106.0,0.8675703038869605,staples
P024,83112.75,71619.46,-11493.289999999994,-16.04771943267932,apparel
P025,151528.79,146671.5,-4857.290000000008,-3.31167950147098,electronics
P026,65486.5,57819.03,-7667.470000000001,-13.261152945665122,apparel
P027,222635.93,217657.8,-4978.130000000005,-2.2871360456643433,staples
P028,81795.77,78222.64,-3573.1300000000047,-4.567897478274838,staples
P029,85593.48,85890.67,297.1900000000023,0.3460096422580035,electronics
P030,143770.49,144349.44,578.9500000000116,0.4010753349649376,apparel
P031,256839.35,246146.43,-10692.920000000013,-4.344129630480529,staples
P032,32135.71,32843.63,707.9199999999983,2.1554255726300604,staples
P033,820845.98,665220.24,-155625.74,-23.39461890095226,apparel
P034,57657.73,55788.79,-1868.9400000000023,-3.3500278460959674,apparel
P035,125602.03,120097.85,-5504.179999999993,-4.5830795472191985,electronics
P036,46143.61,38022.95,-8120.6600000000035,-21.357259234225655,apparel
P037,346372.64,338255.65,-8116.989999999991,-2.3996613212521325,staples
P038,408061.49,294692.48,-113369.01000000001,-38.47027586180686,apparel
P039,54545.7,55309.48,763.7800000000061,1.3809205944442184,staples
P040,79771.4,77166.74,-2604.659999999989,-3.3753661227622014,apparel
