product_id,category,forecast_date,yhat,yhat_lower,yhat_upper,mean_mape
P001,electronics,2026-01-01,193.89789828058068,160.60543315697947,225.9576875037377,15.992830570581548
P001,electronics,2026-01-02,189.30807088366723,156.50027534242727,223.6267913606597,15.992830570581548
P001,electronics,2026-01-03,177.9861237508063,143.43552185590602,209.07217945714174,15.992830570581548
P001,electronics,2026-01-04,171.33934266562113,140.04671531589432,205.95660384210666,15.992830570581548
P001,electronics,2026-01-05,171.4954226281459,136.28890546216059,204.3973161023289,15.992830570581548
P001,electronics,2026-01-06,161.16586995942552,129.3761926813391,196.17341414782652,15.992830570581548
P001,electronics,2026-01-07,161.01374918881254,125.304363828606,191.83126810179465,15.992830570581548
P001,electronics,2026-01-08,153.11937295763605,118.25475137683621,188.6545104382144,15.992830570581548
P001,electronics,2026-01-09,150.98883450113118,118.3772802610971,184.5785643655128,15.992830570581548
P001,electronics,2026-01-10,142.53446211040188,110.20947248004362,176.13632296808757,15.992830570581548
P001,electronics,2026-01-11,139.11762148257085,107.94970282290522,174.2590541762399,15.992830570581548
P001,electronics,2026-01-12,142.80118810421027,108.16860373061628,176.81399945167163,15.992830570581548
P001,electronics,2026-01-13,136.20106907560358,100.90399976500044,171.24907011294215,15.992830570581548
P001,electronics,2026-01-14,139.9324792132209,106.44104331614103,170.38533958145402,15.992830570581548
P001,electronics,2026-01-15,135.9750205408004,105.13120955332491,170.99374037538507,15.992830570581548
P001,electronics,2026-01-16,137.77668348366922,104.20603050061443,173.2244075429225,15.992830570581548
P001,electronics,2026-01-17,133.15977825498706,94.81437723898568,168.70856363152242,15.992830570581548
P001,electronics,2026-01-18,133.43098753064598,100.06920980396612,167.60448819501838,15.992830570581548
P001,electronics,2026-01-19,140.59157016485926,105.16679425506304,174.7875844449467,15.992830570581548
P001,electronics,2026-01-20,137.17669354595623,102.48738975688522,170.3162534263676,15.992830570581548
P001,electronics,2026-01-21,143.77964095971345,110.43039431769658,179.18840180512325,15.992830570581548
